testDate,expression,movement,quality,benchmarkPct
18/01/2024,isometric,jump,land,
19/01/2024,isometric,jump,land,
20/01/2024,isometric,upper body,push,0.687
28/01/2024,dynamic,agility,deceleration,0.879
08/02/2024,dynamic,jump,pre-load,0.53
09/02/2024,dynamic,upper body,push,0.4345
11/02/2024,dynamic,upper body,push,0.4345
11/02/2024,isometric,agility,acceleration,0.52
20/02/2024,isometric,agility,acceleration,0.52
21/02/2024,dynamic,upper body,pull,0.89
23/02/2024,isometric,upper body,grapple,
26/02/2024,isometric,sprint,acceleration,0.52
28/02/2024,isometric,sprint,acceleration,0.52
29/02/2024,dynamic,sprint,acceleration,0.4445
03/03/2024,dynamic,agility,deceleration,0.89
04/03/2024,isometric,upper body,pull,
14/03/2024,dynamic,jump,take off,0.6525
19/03/2024,dynamic,jump,land,0.668
30/03/2024,isometric,jump,pre-load,0.52
31/03/2024,dynamic,jump,land,0.6625
07/04/2024,isometric,upper body,pull,
12/04/2024,isometric,upper body,push,0.704
17/04/2024,isometric,upper body,grapple,
26/04/2024,isometric,upper body,pull,
30/04/2024,dynamic,sprint,max velocity,0.628
05/05/2024,isometric,agility,acceleration,0.52
05/05/2024,dynamic,sprint,max velocity,0.628
11/05/2024,isometric,jump,land,
18/05/2024,dynamic,upper body,push,0.43
08/06/2024,dynamic,sprint,max velocity,0.625
23/06/2024,isometric,agility,deceleration,1.1365
30/06/2024,dynamic,jump,pre-load,0.4655
12/07/2024,isometric,upper body,grapple,
21/07/2024,dynamic,upper body,push,0.488
03/08/2024,isometric,sprint,max velocity,0.756
06/08/2024,isometric,upper body,push,0.96
12/08/2024,dynamic,jump,land,0.652
14/08/2024,dynamic,upper body,push,0.428
29/08/2024,isometric,jump,pre-load,0.731
31/08/2024,isometric,upper body,pull,
02/09/2024,dynamic,jump,land,0.641
05/09/2024,isometric,jump,pre-load,0.7275
22/09/2024,dynamic,sprint,acceleration,0.494
24/09/2024,dynamic,upper body,push,0.494
25/09/2024,dynamic,upper body,pull,0.896
03/10/2024,isometric,upper body,pull,
08/10/2024,dynamic,jump,land,0.65
22/10/2024,dynamic,jump,take off,0.7165
04/11/2024,dynamic,agility,deceleration,0.88
10/11/2024,dynamic,jump,land,0.666
19/11/2024,dynamic,jump,land,0.666
29/11/2024,isometric,agility,acceleration,0.79
02/12/2024,isometric,jump,pre-load,0.796
03/12/2024,dynamic,jump,land,0.728
04/12/2024,isometric,sprint,max velocity,0.685
12/12/2024,dynamic,jump,land,0.728
13/12/2024,isometric,jump,land,0.4
13/12/2024,dynamic,jump,pre-load,0.557
20/12/2024,isometric,agility,rotate,0.68
22/12/2024,dynamic,sprint,max velocity,0.6645
28/12/2024,dynamic,agility,deceleration,0.876
02/01/2025,isometric,agility,deceleration,0.9155
19/01/2025,dynamic,jump,take off,0.67
20/01/2025,dynamic,jump,take off,0.67
20/01/2025,dynamic,upper body,push,0.5
21/01/2025,isometric,agility,rotate,0.6675
25/01/2025,dynamic,agility,deceleration,0.853
31/01/2025,dynamic,upper body,push,0.4965
04/02/2025,dynamic,agility,deceleration,0.873
13/02/2025,isometric,upper body,pull,0.805
13/02/2025,isometric,agility,rotate,0.6415
23/02/2025,isometric,upper body,grapple,0.6385
02/03/2025,dynamic,agility,deceleration,0.87
06/03/2025,dynamic,agility,deceleration,0.88
02/07/2023,isometric,sprint,acceleration,
26/07/2023,isometric,sprint,acceleration,
04/08/2023,dynamic,jump,take off,0.7365
13/08/2023,dynamic,jump,pre-load,0.6175
19/08/2023,isometric,upper body,pull,
20/08/2023,isometric,upper body,push,
24/08/2023,isometric,upper body,pull,
29/08/2023,isometric,sprint,max velocity,
30/08/2023,isometric,jump,pre-load,0.52
01/09/2023,dynamic,upper body,push,0.3945
01/09/2023,isometric,agility,rotate,
03/09/2023,dynamic,sprint,acceleration,0.3945
11/09/2023,isometric,upper body,push,
29/09/2023,dynamic,jump,land,0.69
04/10/2023,isometric,upper body,pull,
05/10/2023,isometric,upper body,grapple,
13/10/2023,isometric,jump,take off,
26/10/2023,dynamic,jump,land,0.6615
09/11/2023,isometric,jump,land,
09/11/2023,dynamic,sprint,acceleration,0.431
16/11/2023,dynamic,agility,acceleration,0.43
10/12/2023,dynamic,sprint,acceleration,0.43
19/12/2023,dynamic,sprint,acceleration,0.43
20/12/2023,dynamic,jump,land,0.674
23/12/2023,isometric,agility,deceleration,1.112
29/12/2023,isometric,agility,rotate,
02/01/2024,isometric,jump,land,
03/01/2024,isometric,agility,rotate,
16/01/2024,isometric,jump,take off,
22/01/2024,isometric,agility,rotate,
25/01/2024,dynamic,upper body,push,0.4345
05/02/2024,isometric,upper body,grapple,
06/02/2024,isometric,jump,land,
06/02/2024,dynamic,sprint,acceleration,0.4445
08/02/2024,dynamic,upper body,pull,0.89
15/02/2024,isometric,sprint,max velocity,
16/02/2024,isometric,sprint,max velocity,
24/02/2024,isometric,jump,pre-load,0.52
29/02/2024,dynamic,upper body,push,0.4445
01/03/2024,isometric,agility,rotate,
06/03/2024,isometric,upper body,grapple,
12/03/2024,isometric,agility,deceleration,1.138
13/03/2024,isometric,jump,pre-load,0.52
20/03/2024,dynamic,sprint,max velocity,0.637
28/03/2024,isometric,jump,take off,
07/04/2024,dynamic,jump,pre-load,0.521
11/04/2024,isometric,jump,take off,
13/04/2024,dynamic,agility,acceleration,0.43
19/04/2024,isometric,sprint,max velocity,-0.2
20/04/2024,dynamic,jump,take off,0.64
06/05/2024,dynamic,agility,acceleration,0.43
08/05/2024,isometric,agility,rotate,
10/05/2024,dynamic,agility,acceleration,0.43
13/05/2024,isometric,agility,deceleration,1.1365
18/05/2024,dynamic,sprint,max velocity,0.625
03/06/2024,isometric,upper body,grapple,
11/06/2024,isometric,agility,acceleration,0.49
19/06/2024,isometric,upper body,pull,
23/06/2024,isometric,upper body,push,0.704
30/06/2024,dynamic,jump,take off,0.639
03/07/2024,isometric,upper body,pull,
03/07/2024,isometric,agility,rotate,
10/07/2024,dynamic,sprint,acceleration,0.491
13/07/2024,isometric,jump,land,0.4125
13/07/2024,dynamic,jump,pre-load,0.5175
19/07/2024,isometric,upper body,grapple,0.278
20/07/2024,isometric,jump,take off,0.3975
09/08/2024,isometric,jump,take off,0.363
23/08/2024,dynamic,agility,deceleration,0.855
26/08/2024,dynamic,upper body,push,0.428
01/09/2024,isometric,upper body,pull,
07/09/2024,dynamic,jump,take off,0.72
08/09/2024,isometric,jump,land,0.33
12/09/2024,dynamic,jump,pre-load,0.505
13/09/2024,isometric,jump,take off,0.368
13/09/2024,isometric,upper body,grapple,0.6315
14/09/2024,isometric,agility,rotate,0.6315
22/09/2024,isometric,agility,deceleration,0.869
23/09/2024,isometric,agility,deceleration,0.869
27/09/2024,isometric,upper body,push,0.936
16/10/2024,dynamic,upper body,push,0.498
17/10/2024,isometric,upper body,push,0.936
20/10/2024,dynamic,upper body,pull,0.88
23/10/2024,dynamic,agility,acceleration,0.486
28/10/2024,dynamic,jump,pre-load,0.57
18/11/2024,dynamic,sprint,acceleration,0.47
20/11/2024,isometric,sprint,acceleration,0.799
22/11/2024,isometric,upper body,grapple,0.6795
28/12/2024,isometric,sprint,acceleration,0.79
30/12/2024,isometric,upper body,grapple,0.6705
04/01/2025,dynamic,jump,pre-load,0.497
11/01/2025,isometric,upper body,push,0.918
15/01/2025,isometric,jump,land,0.46
17/01/2025,dynamic,agility,deceleration,0.853
20/01/2025,dynamic,jump,pre-load,0.474
31/01/2025,dynamic,jump,take off,0.6825
03/02/2025,isometric,upper body,push,0.96
18/02/2025,isometric,agility,deceleration,0.96
11/03/2025,dynamic,agility,acceleration,0.495
04/07/2023,dynamic,jump,pre-load,0.554
05/07/2023,dynamic,upper body,pull,0.87
21/07/2023,isometric,agility,rotate,
05/08/2023,isometric,jump,pre-load,
05/08/2023,isometric,agility,rotate,
07/08/2023,dynamic,agility,acceleration,0.39
22/08/2023,isometric,upper body,grapple,
23/08/2023,isometric,agility,acceleration,
31/08/2023,isometric,upper body,grapple,
12/10/2023,isometric,agility,deceleration,1.038
18/10/2023,dynamic,jump,land,0.6615
24/10/2023,dynamic,jump,land,0.6615
27/10/2023,isometric,upper body,pull,
28/10/2023,isometric,jump,pre-load,0.52
07/11/2023,dynamic,jump,take off,0.651
20/11/2023,isometric,sprint,acceleration,0.52
22/11/2023,dynamic,jump,land,0.69
23/11/2023,isometric,upper body,grapple,
23/11/2023,isometric,agility,rotate,
24/11/2023,isometric,agility,deceleration,1.038
28/12/2023,isometric,sprint,acceleration,0.52
04/01/2024,isometric,jump,land,
08/01/2024,dynamic,agility,acceleration,0.426
13/01/2024,isometric,jump,land,
25/01/2024,isometric,agility,deceleration,1.138
01/02/2024,isometric,upper body,pull,
03/02/2024,dynamic,agility,acceleration,0.4445
22/02/2024,dynamic,sprint,max velocity,0.637
24/02/2024,isometric,jump,take off,
07/03/2024,dynamic,jump,pre-load,0.5
10/03/2024,isometric,upper body,grapple,
12/03/2024,isometric,sprint,max velocity,
16/03/2024,isometric,jump,take off,
23/03/2024,dynamic,jump,pre-load,0.524
31/03/2024,isometric,sprint,max velocity,
02/04/2024,dynamic,jump,pre-load,0.521
03/04/2024,isometric,upper body,grapple,
10/04/2024,dynamic,jump,take off,0.64
19/04/2024,isometric,upper body,push,0.704
21/04/2024,isometric,agility,deceleration,1.1365
28/04/2024,isometric,jump,take off,
29/04/2024,dynamic,agility,acceleration,0.43
06/05/2024,isometric,jump,pre-load,0.52
07/05/2024,isometric,jump,take off,
13/05/2024,isometric,agility,acceleration,0.52
16/05/2024,isometric,upper body,grapple,
17/05/2024,isometric,agility,deceleration,1.1365
18/05/2024,isometric,upper body,grapple,
29/05/2024,dynamic,upper body,push,0.43
04/06/2024,isometric,agility,rotate,
05/06/2024,isometric,upper body,grapple,
06/06/2024,isometric,agility,acceleration,0.49
08/06/2024,isometric,jump,land,
16/06/2024,dynamic,agility,acceleration,0.43
22/06/2024,isometric,jump,land,
08/07/2024,dynamic,upper body,pull,0.897
13/07/2024,dynamic,jump,take off,0.695
22/07/2024,isometric,jump,take off,0.3975
29/07/2024,isometric,jump,pre-load,0.685
31/07/2024,isometric,upper body,pull,
02/08/2024,isometric,agility,deceleration,1.032
09/08/2024,dynamic,upper body,push,0.428
15/08/2024,isometric,agility,acceleration,0.7305
16/08/2024,dynamic,jump,pre-load,0.5095
22/08/2024,dynamic,upper body,pull,0.855
26/08/2024,isometric,agility,rotate,0.5075
27/08/2024,isometric,upper body,grapple,0.6015
01/09/2024,isometric,jump,land,0.363
05/09/2024,dynamic,jump,take off,0.72
18/09/2024,isometric,upper body,grapple,0.6315
25/09/2024,isometric,upper body,pull,
27/09/2024,isometric,upper body,pull,
02/10/2024,isometric,upper body,push,0.936
13/10/2024,isometric,upper body,pull,
15/10/2024,dynamic,jump,take off,0.7165
16/10/2024,dynamic,sprint,acceleration,0.498
23/10/2024,dynamic,jump,pre-load,0.5375
28/10/2024,dynamic,jump,take off,0.69
03/11/2024,dynamic,jump,land,0.666
11/11/2024,dynamic,jump,land,0.666
12/11/2024,dynamic,sprint,max velocity,0.665
17/11/2024,dynamic,upper body,pull,0.88
23/11/2024,isometric,agility,acceleration,0.799
24/11/2024,isometric,jump,land,0.444
27/11/2024,dynamic,upper body,push,0.47
15/12/2024,isometric,agility,acceleration,0.796
07/01/2025,isometric,jump,land,0.42
09/01/2025,isometric,agility,deceleration,0.92
12/01/2025,isometric,jump,take off,0.46
12/01/2025,dynamic,upper body,pull,0.853
03/02/2025,isometric,sprint,acceleration,0.79
04/02/2025,isometric,agility,deceleration,0.96
17/02/2025,isometric,upper body,push,0.9555
20/02/2025,dynamic,agility,deceleration,0.87
25/02/2025,dynamic,jump,land,0.745
03/03/2025,isometric,upper body,pull,0.854
09/03/2025,isometric,agility,rotate,0.627
11/03/2025,dynamic,jump,pre-load,0.5225
05/07/2023,isometric,upper body,push,
15/07/2023,isometric,upper body,grapple,
17/07/2023,dynamic,jump,land,0.6975
01/08/2023,dynamic,sprint,max velocity,0.67
04/08/2023,isometric,agility,deceleration,0.818
20/08/2023,dynamic,jump,land,0.69
24/08/2023,isometric,agility,acceleration,
02/09/2023,dynamic,upper body,push,0.3945
04/09/2023,dynamic,agility,deceleration,0.877
17/09/2023,dynamic,jump,pre-load,0.51
08/11/2023,isometric,jump,pre-load,0.52
08/11/2023,isometric,upper body,push,0.67
13/11/2023,isometric,sprint,acceleration,0.52
17/11/2023,isometric,sprint,acceleration,0.52
18/11/2023,isometric,jump,take off,
26/11/2023,dynamic,jump,take off,0.631
28/11/2023,isometric,agility,rotate,
29/11/2023,dynamic,agility,deceleration,0.87
06/12/2023,isometric,agility,acceleration,0.52
15/12/2023,isometric,agility,rotate,
02/01/2024,isometric,agility,rotate,
07/01/2024,dynamic,agility,acceleration,0.426
08/01/2024,isometric,sprint,acceleration,0.52
13/01/2024,dynamic,sprint,max velocity,0.598
14/01/2024,isometric,jump,take off,
21/01/2024,isometric,upper body,pull,
22/01/2024,dynamic,jump,land,0.668
22/01/2024,isometric,upper body,push,0.6385
29/01/2024,isometric,agility,acceleration,0.52
02/02/2024,isometric,upper body,pull,
02/03/2024,dynamic,jump,take off,0.6625
02/03/2024,dynamic,upper body,push,0.4445
08/03/2024,isometric,jump,pre-load,0.52
23/03/2024,isometric,jump,pre-load,0.52
01/04/2024,isometric,upper body,grapple,
11/04/2024,isometric,jump,land,
13/04/2024,dynamic,sprint,acceleration,0.43
28/04/2024,isometric,jump,pre-load,0.52
27/05/2024,dynamic,sprint,acceleration,0.43
29/05/2024,isometric,agility,deceleration,1.1365
31/05/2024,dynamic,jump,land,0.664
31/05/2024,isometric,agility,acceleration,0.49
18/06/2024,isometric,agility,acceleration,0.49
03/07/2024,isometric,upper body,grapple,
18/07/2024,dynamic,sprint,max velocity,0.6725
22/07/2024,dynamic,jump,pre-load,0.466
31/07/2024,isometric,sprint,acceleration,0.7305
02/08/2024,dynamic,upper body,push,0.428
03/08/2024,isometric,upper body,grapple,0.384
05/08/2024,dynamic,jump,take off,0.749
12/08/2024,dynamic,jump,pre-load,0.5095
13/08/2024,dynamic,sprint,acceleration,0.428
17/08/2024,isometric,jump,land,0.363
01/09/2024,dynamic,sprint,acceleration,0.428
04/09/2024,isometric,agility,rotate,0.6405
07/09/2024,isometric,agility,rotate,0.6315
08/09/2024,dynamic,jump,land,0.6495
12/09/2024,dynamic,sprint,max velocity,0.688
19/09/2024,dynamic,jump,take off,0.7055
24/09/2024,isometric,jump,take off,0.426
28/09/2024,isometric,sprint,acceleration,0.72
05/10/2024,isometric,upper body,push,0.936
07/10/2024,isometric,agility,acceleration,0.6925
12/10/2024,isometric,agility,rotate,0.6595
25/10/2024,dynamic,upper body,push,0.486
03/11/2024,dynamic,upper body,push,0.486
08/11/2024,isometric,agility,acceleration,0.7145
08/11/2024,dynamic,sprint,acceleration,0.47
11/11/2024,dynamic,agility,acceleration,0.47
13/11/2024,isometric,agility,deceleration,0.866
17/11/2024,isometric,upper body,push,0.936
21/11/2024,isometric,upper body,push,0.936
30/11/2024,isometric,sprint,max velocity,0.73
04/12/2024,dynamic,sprint,acceleration,0.498
09/12/2024,dynamic,jump,land,0.728
18/12/2024,dynamic,upper body,pull,0.876
26/12/2024,isometric,upper body,pull,0.46
27/12/2024,dynamic,jump,take off,0.69
08/01/2025,isometric,agility,deceleration,0.92
10/01/2025,dynamic,jump,land,0.7365
13/01/2025,dynamic,upper body,push,0.5
17/01/2025,dynamic,upper body,pull,0.853
28/01/2025,isometric,jump,pre-load,0.79
30/01/2025,dynamic,upper body,pull,0.873
31/01/2025,dynamic,agility,acceleration,0.4965
08/02/2025,isometric,jump,land,0.39
13/02/2025,dynamic,jump,take off,0.68
14/02/2025,isometric,agility,deceleration,0.958
16/02/2025,isometric,sprint,max velocity,0.728
25/02/2025,isometric,upper body,pull,0.7975
04/03/2025,isometric,jump,take off,0.3955
14/07/2023,dynamic,sprint,acceleration,0.336
20/07/2023,isometric,jump,pre-load,
22/07/2023,dynamic,jump,take off,0.7365
24/07/2023,isometric,upper body,pull,
25/07/2023,dynamic,jump,land,0.69
28/07/2023,dynamic,upper body,push,0.345
28/07/2023,dynamic,agility,deceleration,0.8525
07/08/2023,isometric,upper body,pull,
11/08/2023,isometric,sprint,max velocity,
22/08/2023,isometric,sprint,acceleration,
06/09/2023,isometric,sprint,acceleration,0.52
11/09/2023,isometric,jump,pre-load,0.52
19/09/2023,isometric,jump,take off,
28/09/2023,dynamic,jump,pre-load,0.49
14/10/2023,isometric,jump,pre-load,0.52
23/10/2023,isometric,jump,pre-load,0.52
30/10/2023,dynamic,jump,land,0.6615
05/11/2023,isometric,sprint,max velocity,
09/11/2023,dynamic,jump,pre-load,0.497
17/11/2023,dynamic,upper body,pull,0.871
19/11/2023,dynamic,sprint,acceleration,0.43
21/11/2023,dynamic,agility,deceleration,0.871
29/11/2023,dynamic,sprint,acceleration,0.43
05/12/2023,dynamic,jump,land,0.688
09/12/2023,dynamic,jump,pre-load,0.4955
13/12/2023,isometric,agility,deceleration,1.04
16/12/2023,isometric,upper body,push,0.664
01/01/2024,isometric,jump,take off,
03/01/2024,dynamic,agility,acceleration,0.426
15/01/2024,isometric,upper body,pull,
17/01/2024,isometric,upper body,grapple,
27/01/2024,isometric,jump,pre-load,0.52
03/02/2024,dynamic,sprint,max velocity,0.646
04/02/2024,isometric,agility,deceleration,1.138
12/02/2024,dynamic,agility,deceleration,0.89
23/02/2024,isometric,agility,deceleration,1.148
21/03/2024,dynamic,agility,acceleration,0.4445
23/03/2024,isometric,upper body,pull,
29/03/2024,isometric,jump,land,
30/03/2024,isometric,agility,rotate,
10/04/2024,dynamic,sprint,acceleration,0.44
11/04/2024,dynamic,upper body,pull,0.89
30/04/2024,isometric,upper body,push,0.704
03/05/2024,isometric,upper body,push,0.704
13/05/2024,dynamic,upper body,push,0.43
13/05/2024,isometric,upper body,push,0.704
14/05/2024,dynamic,sprint,max velocity,0.625
17/06/2024,dynamic,agility,deceleration,0.89
22/06/2024,dynamic,upper body,push,0.436
26/06/2024,isometric,jump,land,
27/06/2024,dynamic,jump,pre-load,0.4655
27/06/2024,dynamic,upper body,pull,0.89
28/06/2024,isometric,upper body,push,0.704
01/07/2024,isometric,upper body,grapple,
23/07/2024,dynamic,upper body,pull,0.855
26/07/2024,isometric,agility,acceleration,0.685
29/07/2024,isometric,upper body,grapple,0.286
18/08/2024,isometric,jump,pre-load,0.7305
21/08/2024,isometric,upper body,pull,
27/08/2024,dynamic,sprint,acceleration,0.428
31/08/2024,dynamic,agility,deceleration,0.9
15/09/2024,dynamic,jump,land,0.6495
17/09/2024,dynamic,upper body,push,0.494
18/09/2024,dynamic,jump,take off,0.7155
19/09/2024,isometric,jump,land,0.426
25/09/2024,dynamic,sprint,max velocity,0.694
30/09/2024,dynamic,sprint,max velocity,0.702
10/10/2024,dynamic,upper body,push,0.498
10/10/2024,dynamic,sprint,max velocity,0.67
16/10/2024,isometric,agility,rotate,0.6595
26/10/2024,dynamic,jump,land,0.666
30/10/2024,isometric,jump,take off,0.444
06/11/2024,isometric,sprint,max velocity,0.68
18/11/2024,dynamic,agility,acceleration,0.47
24/11/2024,isometric,jump,pre-load,0.799
02/12/2024,isometric,jump,land,0.42
12/12/2024,dynamic,upper body,pull,0.876
17/12/2024,dynamic,jump,land,0.728
18/12/2024,isometric,sprint,max velocity,0.685
22/12/2024,dynamic,agility,deceleration,0.876
23/12/2024,dynamic,sprint,acceleration,0.498
25/12/2024,isometric,upper body,push,0.876
28/12/2024,isometric,agility,rotate,0.6705
03/01/2025,dynamic,upper body,push,0.498
19/01/2025,isometric,agility,acceleration,0.7475
26/01/2025,isometric,sprint,max velocity,0.749
27/01/2025,isometric,upper body,grapple,0.6675
30/01/2025,isometric,agility,rotate,0.6445
11/02/2025,dynamic,jump,take off,0.68
27/02/2025,isometric,agility,acceleration,0.79
04/03/2025,dynamic,sprint,acceleration,0.495
05/07/2023,dynamic,upper body,push,0.32
06/07/2023,isometric,sprint,max velocity,
12/07/2023,isometric,upper body,grapple,
18/07/2023,isometric,sprint,max velocity,
30/07/2023,dynamic,agility,acceleration,0.395
03/08/2023,isometric,jump,take off,
07/08/2023,isometric,jump,pre-load,
16/08/2023,dynamic,jump,land,0.69
30/08/2023,isometric,upper body,push,
04/09/2023,isometric,jump,pre-load,0.52
06/09/2023,isometric,agility,rotate,
26/09/2023,dynamic,jump,pre-load,0.49
29/09/2023,dynamic,jump,pre-load,0.487
03/10/2023,isometric,upper body,pull,
14/10/2023,isometric,upper body,push,
22/10/2023,isometric,upper body,grapple,
26/10/2023,dynamic,jump,take off,0.6955
28/10/2023,isometric,jump,take off,
29/10/2023,dynamic,upper body,push,0.4305
19/11/2023,isometric,agility,rotate,
23/11/2023,dynamic,upper body,push,0.4305
17/12/2023,dynamic,jump,land,0.68
21/12/2023,dynamic,jump,land,0.674
19/01/2024,isometric,sprint,max velocity,
02/02/2024,dynamic,upper body,pull,0.899
02/02/2024,isometric,sprint,max velocity,
10/02/2024,isometric,upper body,grapple,
19/02/2024,dynamic,jump,pre-load,0.476
14/03/2024,isometric,upper body,grapple,
17/03/2024,dynamic,jump,land,0.668
25/03/2024,isometric,upper body,push,0.704
28/03/2024,isometric,agility,acceleration,0.52
09/04/2024,isometric,agility,rotate,
07/05/2024,isometric,upper body,grapple,
