date,opposition_code,opposition_full,md_plus_code,md_minus_code,season,distance,distance_over_21,distance_over_24,distance_over_27,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,peak_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms
20/08/2022,,,6,-1,2022/2023,2436.343984,6.828462805,29.07490675,2.949025548,63.29754513,22.28608377,6.685321314,59.64192971,27.0906,00:07:09,00:17:40,00:20:45,00:06:40,00:00:06
21/08/2022,LEE,Leeds United,0,0,2022/2023,5635.717452,342.9453935,147.0083937,60.52226543,149.3339219,54.88763993,20.36545625,64.04870174,30.2783581,00:01:53,00:06:15,00:22:15,00:23:45,00:00:38
22/08/2022,,,1,-5,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
23/08/2022,,,2,-4,2022/2023,3275.065816,78.4648397,8.894065901,0,64.23770174,17.4907045,3.420880917,60.3564997,25.3047,00:04:36,00:19:29,00:16:01,00:01:57,00:00:00
24/08/2022,,,3,-3,2022/2023,5673.246746,119.9512426,38.90034186,18.76901698,97.1870205,26.89396349,7.714358077,64.47035894,29.0369,00:04:47,00:16:14,00:21:58,00:14:11,00:00:02
25/08/2022,,,4,-2,2022/2023,5716.893586,171.7022802,107.6121287,33.36835798,101.5824729,30.83581335,6.771580602,75.58331233,30.1399,00:04:11,00:16:37,00:18:20,00:12:07,00:00:05
26/08/2022,,,5,-1,2022/2023,3871.322539,194.1813903,91.74957385,21.40397402,66.43034436,19.55884316,9.011714156,59.95414971,28.97405,00:03:43,00:16:45,00:16:39,00:07:02,00:00:02
27/08/2022,LEI,Leicester City,0,0,2022/2023,9243.83888,538.5219348,278.0489025,125.5087852,227.6969267,95.00008081,34.41884819,90.21831558,31.7049,00:06:21,00:19:59,00:10:34,00:20:36,00:00:25
28/08/2022,,,1,-2,2022/2023,4714.720847,116.232693,75.95010202,10.46576433,108.8349922,38.06803639,11.51783015,64.55603515,28.11856667,00:04:39,00:14:29,00:16:09,00:10:27,00:00:03
29/08/2022,,,2,-1,2022/2023,1419.717131,86.59832953,20.78553429,4.390746102,21.5880745,4.23804069,1.872396471,55.7508119,27.2766,00:10:02,00:16:26,00:07:28,00:01:50,00:00:01
30/08/2022,SOU,Southampton,0,0,2022/2023,5380.990631,264.8703619,161.8232331,87.91587561,169.8959494,72.88446342,26.64623008,56.71042608,29.81470476,00:02:17,00:06:56,00:18:54,00:20:43,00:01:02
31/08/2022,,,1,-3,2022/2023,3171.196542,150.2844427,0,12.08542842,49.10755493,5.873294915,0,29.72558671,27.6732,00:07:10,00:04:33,00:04:22,00:01:55,00:00:00
01/09/2022,,,2,-2,2022/2023,3939.213092,88.62988059,38.8643167,28.22681532,74.95951062,28.35947243,7.890767232,68.67255145,30.66142857,00:06:31,00:21:29,00:18:13,00:03:54,00:00:03
02/09/2022,,,3,-1,2022/2023,4283.844231,126.7228301,28.36996669,2.47109923,38.51446163,13.93774679,2.68766043,62.94869557,27.0873,00:05:29,00:21:21,00:15:06,00:03:23,00:00:00
03/09/2022,WHU,West Ham United,0,0,2022/2023,3128.296272,494.3630694,246.2546383,72.26966195,86.34745963,36.19347414,14.74687136,31.01756843,29.85651333,00:01:00,00:00:40,00:02:37,00:01:27,00:00:02
04/09/2022,,,1,-2,2022/2023,3769.789047,262.7822805,62.88869897,18.83100757,101.2766608,35.98319876,10.32962251,43.06702465,28.7826,00:02:24,00:04:01,00:09:58,00:06:14,00:00:01
05/09/2022,,,2,-1,2022/2023,1653.959753,51.19878885,26.0903898,11.16943721,15.83050882,1.615322271,0,30.41873857,27.9332,00:04:20,00:04:25,00:01:52,00:00:28,00:00:04
06/09/2022,DIN,Dinamo Zagreb,0,0,2022/2023,3491.169199,195.7521222,90.3214388,46.01970304,86.3652067,32.55716531,12.3500435,23.42294754,30.8133,00:01:20,00:01:48,00:03:15,00:02:26,00:00:01
07/09/2022,,,1,-7,2022/2023,6489.755554,228.8795459,94.83445158,35.08946563,117.6909894,29.13790831,7.633827506,102.6247436,30.1673,00:13:06,00:33:30,00:19:31,00:06:41,00:00:02
08/09/2022,,,2,-6,2022/2023,3755.942243,205.8010982,50.06622742,11.04311379,79.00991167,18.13888581,3.040679184,52.23107419,28.446,00:02:55,00:13:54,00:16:20,00:07:35,00:00:01
09/09/2022,,,3,-5,2022/2023,4608.970329,240.0896798,87.65903191,17.68228214,124.2758065,35.96004306,9.612084974,81.37187294,28.56055,00:03:03,00:19:17,00:20:51,00:12:01,00:00:05
10/09/2022,,,4,-4,2022/2023,5590.174035,102.5909633,58.9054662,41.62207847,129.3280989,43.35589735,14.04262947,78.47921058,30.401,00:02:09,00:12:46,00:16:06,00:16:00,00:00:01
11/09/2022,,,5,-3,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
12/09/2022,,,6,-2,2022/2023,4764.915757,134.9769759,26.70657358,11.5426603,114.7294671,28.87194949,6.947102635,83.84561565,28.66,00:07:09,00:26:11,00:16:46,00:08:00,00:00:04
13/09/2022,,,7,-1,2022/2023,2556.075053,15.36971542,29.86845511,10.83658197,65.94619588,22.92344979,5.676395991,54.72289519,28.3028,00:04:46,00:14:37,00:15:41,00:03:50,00:00:05
14/09/2022,RBS,Salzburg,0,0,2022/2023,6831.807937,583.6389648,192.348596,98.16687756,175.6162065,69.43380474,29.05089329,70.7016143,31.34165524,00:01:30,00:08:00,00:16:31,00:18:49,00:00:48
15/09/2022,,,1,-10,2022/2023,5003.656438,112.4881067,1.819917051,0.834700012,133.0942152,47.452582,15.77217379,69.38929913,26.7946,00:02:29,00:13:54,00:20:09,00:18:50,00:01:24
16/09/2022,,,2,-10,2022/2023,2675.802324,146.3211085,31.06202099,13.0937155,22.52316673,7.661614544,1.733773537,72.20670774,29.1539,00:17:23,00:20:49,00:10:26,00:02:44,00:00:00
17/09/2022,,,3,-10,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
18/09/2022,,,4,-10,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
19/09/2022,,,5,-10,2022/2023,5138.242651,391.2378952,156.6084778,28.73134631,96.03054662,24.43786529,8.31021162,115.3483193,28.74074857,00:16:53,00:29:41,00:17:27,00:06:00,00:00:00
20/09/2022,,,6,-10,2022/2023,3573.506891,140.0195148,48.80235138,13.47239382,84.21320761,20.93022165,7.241534267,81.55632281,28.5244,00:11:09,00:27:46,00:16:44,00:03:44,00:00:01
21/09/2022,,,7,-10,2022/2023,5492.495697,160.3334267,16.62395456,0,115.3629551,34.61122129,7.761611941,80.80652657,25.8151,00:05:20,00:23:28,00:21:51,00:09:35,00:00:01
22/09/2022,,,8,-9,2022/2023,4719.036826,35.09281803,29.92774057,11.00291882,57.31607328,11.23711456,2.697527913,66.58423049,28.4489,00:06:48,00:19:46,00:17:08,00:04:57,00:00:03
23/09/2022,,,9,-8,2022/2023,4204.835622,132.0208482,47.82109959,0,48.24258282,11.72739038,3.105659067,60.86984882,26.553795,00:03:30,00:20:58,00:15:18,00:02:48,00:00:00
24/09/2022,,,10,-7,2022/2023,4897.708424,371.3553646,211.0691626,78.54591039,85.05512017,20.60878503,4.545545275,69.20331888,30.59651667,00:07:15,00:16:49,00:17:58,00:08:09,00:00:00
25/09/2022,,,10,-6,2022/2023,7994.176379,298.8809008,79.71962449,18.28373691,155.8323283,44.62580389,13.07178575,99.5102122,28.8263,00:08:54,00:25:56,00:25:32,00:12:42,00:00:03
26/09/2022,,,10,-5,2022/2023,6481.453235,133.6808313,71.11997141,18.31078419,96.95180029,24.51706169,5.607561713,60.56431432,28.76939167,00:04:01,00:15:35,00:25:42,00:17:04,00:00:03
27/09/2022,,,10,-4,2022/2023,8433.076205,365.0307741,176.6016398,75.81824172,160.053587,55.49264415,18.60933484,116.5542714,32.2044,00:10:01,00:25:28,00:25:50,00:19:47,00:00:07
28/09/2022,,,10,-3,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
29/09/2022,,,10,-2,2022/2023,1195.107351,25.66183451,21.73289179,22.70475016,48.92202709,24.01274766,5.39032011,59.01455933,30.47083333,00:06:45,00:13:44,00:15:06,00:06:24,00:00:07
30/09/2022,,,10,-1,2022/2023,2246.872857,19.15910312,0.994728653,6.529368146,21.88651031,9.204239632,1.623983428,45.4524609,28.7998,00:06:43,00:13:13,00:10:39,00:00:49,00:00:17
01/10/2022,CRY,Crystal Palace,0,0,2022/2023,2412.574632,171.7113665,97.18958535,36.67832717,54.76758112,27.981111,12.79177405,32.21081053,30.62161,00:02:27,00:01:39,00:03:32,00:02:22,00:00:01
02/10/2022,,,1,-3,2022/2023,6517.875457,252.2509379,125.0451799,51.49824563,164.1808057,49.62793059,13.78128911,80.97088094,31.20963333,00:01:12,00:07:54,00:22:23,00:21:38,00:00:02
03/10/2022,,,2,-2,2022/2023,5641.407219,58.87394049,63.95130083,20.22045198,161.3979026,46.46323619,13.68267251,89.88005004,28.8883,00:06:13,00:21:10,00:18:06,00:21:36,00:00:03
04/10/2022,,,3,-1,2022/2023,3282.389955,114.123673,11.07763074,5.828122795,58.48214363,15.72700291,6.419322214,47.29598072,27.8874,00:05:20,00:15:33,00:14:40,00:02:11,00:00:01
05/10/2022,MIL,Milan,0,0,2022/2023,5682.388525,254.0269865,159.8389907,73.45188602,115.3018061,47.94725372,15.85445427,44.94286276,29.6802481,00:01:10,00:00:42,00:09:36,00:11:38,00:00:05
06/10/2022,,,1,-2,2022/2023,3014.069068,113.9087926,36.10962995,5.337962276,74.25962311,22.76707337,7.329206632,62.89678165,27.3825,00:04:17,00:17:17,00:17:29,00:06:51,00:00:01
07/10/2022,,,2,-1,2022/2023,2978.612609,30.03539049,0,6.837852247,53.8725542,10.95997951,3.672462971,41.97144339,28.8215,00:04:29,00:09:35,00:06:27,00:01:28,00:00:20
08/10/2022,WOL,Wolverhampton Wanderers,0,0,2022/2023,4286.457344,283.3217157,146.9968096,40.45179652,104.7357236,37.2443396,10.84711633,44.57726651,30.79512,00:01:15,00:01:37,00:06:54,00:06:46,00:00:17
09/10/2022,,,1,-2,2022/2023,3958.094064,117.6656211,64.91974865,8.418672333,151.507872,41.89179283,11.44491234,48.16531563,27.7554,00:02:16,00:10:19,00:17:55,00:20:30,00:02:15
10/10/2022,,,2,-1,2022/2023,2580.125049,89.45274405,23.57907059,12.25895899,41.9657442,13.83219598,2.438292256,63.77357094,27.5704,00:06:06,00:15:32,00:11:20,00:02:14,00:00:00
11/10/2022,MIL,Milan,0,0,2022/2023,6490.633016,187.6301087,31.05300468,3.361455764,138.2858983,52.27608452,20.08786752,53.46195219,27.2947,00:02:52,00:11:28,00:18:28,00:18:32,00:00:55
12/10/2022,,,1,-4,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
13/10/2022,,,2,-3,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
14/10/2022,,,3,-2,2022/2023,4435.32419,62.16740662,0,0,97.14975526,22.84920319,7.450766024,76.62825879,22.8186,00:06:38,00:19:42,00:14:04,00:08:06,00:00:03
15/10/2022,,,4,-1,2022/2023,4432.379185,12.38368999,0,5.519188142,71.00717465,19.02275745,1.864376292,72.14290416,27.924,00:10:33,00:19:28,00:13:58,00:02:38,00:00:00
16/10/2022,AVL,Aston Villa,0,0,2022/2023,11741.87661,688.1678933,300.9300657,91.7950498,236.0224161,87.06603379,30.13562707,98.26980155,29.9964,00:09:10,00:18:16,00:02:31,00:08:53,00:00:04
17/10/2022,,,1,-2,2022/2023,4806.045344,133.3486433,52.58387332,5.992087441,117.8085513,37.39097478,12.12993619,65.71720589,27.3605,00:03:18,00:14:47,00:16:07,00:10:13,00:00:19
18/10/2022,,,2,-1,2022/2023,3468.125369,91.85291349,14.96052305,0,91.69689472,24.56051248,6.431111368,72.16988243,26.0151,00:10:41,00:26:19,00:15:54,00:05:37,00:00:00
19/10/2022,BRE,Brentford,0,0,2022/2023,12652.12978,795.6464433,349.7045185,80.62868412,232.1942874,95.33476329,34.1123315,96.88503478,29.46996,00:09:13,00:20:15,00:02:20,00:16:50,00:00:40
20/10/2022,,,1,-2,2022/2023,2919.951985,62.52408036,44.7859422,8.503722301,66.80935372,22.52975598,7.53788819,37.46608163,27.8497,00:02:00,00:03:10,00:06:27,00:03:27,00:00:01
21/10/2022,,,2,-1,2022/2023,3556.09284,85.87857349,7.881885331,3.644279153,73.51149875,15.0317299,2.765391364,83.36471666,27.0394,00:10:27,00:27:30,00:18:17,00:03:23,00:00:00
22/10/2022,MUN,Manchester United,0,0,2022/2023,8622.662508,277.2409544,85.23433913,19.34427861,177.1243848,73.03737938,27.5025884,93.74086007,28.67684667,00:08:05,00:23:22,00:17:49,00:09:56,00:00:02
23/10/2022,,,1,-2,2022/2023,3554.762789,111.9784471,58.25953428,38.53217726,68.78814311,13.52250995,2.218835455,38.42148287,31.6461,00:04:00,00:06:57,00:07:54,00:01:56,00:00:01
24/10/2022,,,2,-1,2022/2023,3038.770565,24.79786804,26.82599586,3.255730262,79.65341429,26.40773388,4.678942484,48.80141291,27.2963,00:02:50,00:13:08,00:18:29,00:06:59,00:00:16
25/10/2022,RBS,Salzburg,0,0,2022/2023,8088.84218,814.0971935,372.3596004,168.9859373,187.250673,70.22422164,24.98965486,43.30948118,31.39681333,00:01:20,00:02:19,00:22:49,00:22:52,00:00:46
26/10/2022,,,1,-3,2022/2023,5825.26028,221.8942435,146.2520967,42.84691966,119.566337,36.99316865,6.155665081,77.0662783,30.1004,00:03:04,00:15:28,00:23:08,00:13:31,00:00:10
27/10/2022,,,2,-2,2022/2023,4023.03016,111.6673412,58.47762584,26.39113329,103.7410282,35.11721211,7.846113496,62.92304035,29.5299,00:03:00,00:16:33,00:16:58,00:10:36,00:00:12
28/10/2022,,,3,-1,2022/2023,3433.051303,220.7103892,50.64566993,10.97020389,70.13780648,25.21831445,6.46218438,66.04088515,28.4325,00:08:37,00:20:47,00:19:12,00:03:19,00:00:01
29/10/2022,BHA,Brighton & Hove Albion,0,0,2022/2023,5715.463619,96.60474662,21.17766058,45.66880858,78.44738276,26.72580253,5.345486603,69.11922099,32.4917,00:05:32,00:12:48,00:19:47,00:10:16,00:00:08
30/10/2022,,,1,-3,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
31/10/2022,,,2,-2,2022/2023,4721.401147,82.17289862,7.783663252,15.83840947,108.1242641,26.73629895,4.722287136,71.64030959,30.0663,00:05:27,00:20:18,00:25:16,00:10:25,00:00:09
01/11/2022,,,3,-1,2022/2023,2636.880762,56.59622986,59.15932271,34.30072356,59.83315572,17.53977781,4.093748573,46.39939062,31.68875,00:05:16,00:06:16,00:08:38,00:02:51,00:00:14
02/11/2022,DIN,Dinamo Zagreb,0,0,2022/2023,2337.306867,98.23018785,74.57092391,21.82099394,48.56737381,17.14354868,12.07899949,17.24683854,29.52370667,00:01:32,00:01:38,00:02:56,00:02:37,00:00:02
03/11/2022,,,1,-3,2022/2023,5275.41234,343.8903378,137.4595926,34.90087391,96.75301617,23.86018883,3.358543086,64.12692503,29.62112,00:05:16,00:17:10,00:18:56,00:07:01,00:00:00
04/11/2022,,,2,-2,2022/2023,5775.497577,39.46720533,20.0782267,14.22529386,126.6300865,42.41571492,11.43080247,92.04521242,29.9482,00:14:27,00:28:00,00:17:13,00:09:11,00:00:13
05/11/2022,,,3,-1,2022/2023,3050.331044,92.43711992,38.9043059,37.35370825,74.9979733,23.44100703,6.321734473,64.14033156,32.7596,00:05:02,00:18:03,00:17:40,00:07:19,00:00:06
06/11/2022,ARS,Arsenal,0,0,2022/2023,8007.714695,654.723918,346.8158438,108.6668344,169.2431422,66.91892511,24.17900252,71.27834085,30.65331714,00:01:40,00:09:18,00:21:15,00:21:51,00:00:55
07/11/2022,,,1,-2,2022/2023,3717.647205,256.0277897,106.0535185,5.041589294,86.44247226,23.39054797,4.023764763,51.40394795,27.3792,00:05:26,00:13:07,00:12:33,00:07:47,00:00:01
08/11/2022,,,2,-1,2022/2023,3762.445731,24.75445219,29.23685709,3.981157996,64.36819699,27.38916512,7.278274833,70.60968979,27.2766,00:09:22,00:24:39,00:16:18,00:04:47,00:00:02
09/11/2022,MCI,Manchester City,0,0,2022/2023,4284.040209,166.095707,122.608696,36.49998911,91.19620907,33.74718971,9.360676249,68.52371847,30.7691,00:06:22,00:17:39,00:14:35,00:09:46,00:00:01
10/11/2022,,,1,-2,2022/2023,3759.504512,120.4980225,81.51673025,6.748367071,64.07469057,17.1905884,4.757105056,45.33543596,27.6214,00:04:08,00:06:57,00:09:16,00:02:51,00:00:00
11/11/2022,,,2,-1,2022/2023,2131.922298,35.39679097,11.39775587,0,50.13466085,11.64798564,3.160042954,69.93753196,25.7256,00:07:44,00:18:52,00:10:52,00:02:18,00:00:06
12/11/2022,NEW,Newcastle United,0,0,2022/2023,5263.518831,418.6346545,164.584881,40.90253502,110.9906175,34.49986328,17.97484997,36.28982553,30.30827333,00:01:03,00:00:32,00:10:40,00:06:32,00:00:13
13/11/2022,,,1,-10,2022/2023,0,0,0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
14/11/2022,,,2,-10,2022/2023,4012.591543,196.5627939,61.9135204,19.8147321,83.68050269,24.89717973,5.054595761,73.25222917,28.7055,00:09:19,00:21:21,00:15:30,00:04:27,00:00:00
15/11/2022,,,3,-10,2022/2023,1464.543251,89.42102315,39.7948771,4.996168911,20.73194442,8.409418298,2.880822332,28.84094019,27.4476,00:03:04,00:03:58,00:02:34,00:01:03,00:00:01
16/11/2022,,,4,-10,2022/2023,5731.712273,292.6635887,142.5621058,54.57765067,103.7883707,28.12362726,9.405667157,94.90901861,30.959,00:14:27,00:24:17,00:20:39,00:09:25,00:00:04
17/11/2022,,,5,-10,2022/2023,3520.197903,145.7540244,35.33249237,14.29409199,44.70965416,16.32211842,3.069677963,82.15059328,28.9782,00:13:12,00:21:37,00:12:59,00:04:46,00:00:00
18/11/2022,,,6,-10,2022/2023,3746.114236,98.77271944,9.15040224,0,63.89517811,23.72832114,4.834960701,73.86186467,25.3521,00:15:01,00:26:20,00:13:01,00:03:50,00:00:03
19/11/2022,,,7,-10,2022/2023,3947.886941,130.1654658,0,4.084648462,71.39877312,21.91386756,7.263779546,76.48469239,26.8789,00:07:54,00:18:55,00:14:21,00:06:57,00:00:00
20/11/2022,,,8,-10,2022/2023,6574.774088,236.2392284,93.54422303,20.47836429,109.9971622,30.54587765,8.732876058,89.03890433,28.7529,00:07:31,00:23:41,00:23:58,00:11:26,00:00:01
21/11/2022,,,9,-10,2022/2023,7529.112029,419.72728,192.4624412,48.28749081,156.4040084,50.57264889,17.97143424,99.47764171,29.86906667,00:06:21,00:22:58,00:30:20,00:21:59,00:00:21
22/11/2022,,,10,-10,2022/2023,7718.887318,444.5677778,250.1026029,84.56664961,145.7965763,43.23097593,10.54995791,72.24010709,31.37459524,00:02:16,00:08:45,00:24:29,00:22:22,00:00:11
23/11/2022,,,10,-10,2022/2023,7028.138073,441.3109169,202.361135,73.81039284,138.1484903,49.4111994,15.56466227,110.1360067,31.6592,00:13:44,00:27:09,00:25:27,00:12:21,00:00:01
24/11/2022,,,10,-10,2022/2023,5605.599751,74.16425993,23.18190135,9.344756138,79.17330745,19.03393136,5.881713174,84.11343197,28.8452,00:05:30,00:24:03,00:17:46,00:05:20,00:00:01
25/11/2022,,,10,-10,2022/2023,9388.537127,399.1846156,170.141958,30.46001997,120.8702591,41.12757679,15.52509931,99.13280218,28.857125,00:09:01,00:23:37,00:20:57,00:30:24,00:00:00
26/11/2022,,,10,-10,2022/2023,7806.640087,455.3974843,234.105504,99.9514811,145.7467874,43.00219907,9.219977235,72.1937208,31.67114524,00:02:49,00:10:50,00:26:48,00:22:28,00:00:15
27/11/2022,,,10,-10,2022/2023,6796.472191,389.41533,166.7333012,54.05565561,121.8261318,33.86271384,8.431902705,80.37123847,31.1909,00:02:45,00:17:47,00:28:18,00:15:30,00:00:06
28/11/2022,,,10,-10,2022/2023,9045.235009,456.1829847,220.3361997,135.3752832,190.3971688,61.89255061,17.74104715,84.60525006,32.82765,00:03:13,00:15:40,00:29:48,00:20:18,00:00:52
29/11/2022,,,10,-10,2022/2023,6188.570998,333.4269811,221.7198807,92.74061613,139.6098515,37.96285663,9.023880369,75.3083798,31.26861667,00:02:12,00:08:46,00:26:36,00:21:55,00:00:17
30/11/2022,,,10,-10,2022/2023,3085.026241,73.71275906,42.76756334,17.96415742,21.90986612,9.137056531,1.643667023,50.32963894,28.987,00:06:25,00:17:26,00:09:46,00:01:13,00:00:01
01/12/2022,,,10,-10,2022/2023,3578.524357,380.6671447,208.0937652,94.35476905,44.54885462,9.587396483,2.328708627,59.88380464,30.33096667,00:05:09,00:13:15,00:15:10,00:04:01,00:00:00
02/12/2022,,,10,-10,2022/2023,9209.484025,413.010937,152.1800887,84.20830727,174.8557128,59.26933536,18.40088292,111.0600259,31.9685,00:08:22,00:23:04,00:23:38,00:15:48,00:00:18
03/12/2022,,,10,-10,2022/2023,9147.660878,541.7812606,235.8614338,78.68819923,163.0832951,52.62696487,18.45922901,114.5575784,31.09043333,00:09:49,00:24:06,00:24:25,00:16:49,00:00:06
04/12/2022,,,10,-10,2022/2023,5823.728474,259.0382676,135.271725,43.97538054,129.7617926,35.20507702,4.947137662,69.94962271,30.0803,00:01:47,00:13:19,00:24:27,00:22:21,00:00:56
05/12/2022,,,10,-10,2022/2023,9461.818238,236.164104,44.42938958,35.46366554,203.3826374,75.4945947,19.84724543,86.14812318,32.1073,00:04:14,00:15:55,00:20:25,00:18:09,00:00:28
06/12/2022,,,10,-10,2022/2023,7225.697598,328.3985404,230.5329004,42.52526961,136.4992035,33.09004374,5.108306153,93.04496205,28.97683333,00:06:55,00:22:30,00:30:41,00:17:36,00:00:02
07/12/2022,,,10,-10,2022/2023,9572.859968,394.8774519,158.0991208,96.73628221,163.8199147,51.17257449,17.75759112,89.35320257,32.3056,00:05:06,00:17:27,00:25:11,00:23:21,00:00:32
08/12/2022,,,10,-10,2022/2023,12414.87762,596.2191317,263.0170593,69.56279402,209.9509455,67.44961799,22.41825426,110.3290379,30.544,00:06:32,00:17:42,00:14:10,00:19:20,00:00:34
09/12/2022,,,10,-10,2022/2023,6449.219441,616.3350234,325.4480291,102.246782,113.9022407,39.60573039,14.40604197,85.14114068,30.75906714,00:04:54,00:18:48,00:31:46,00:10:15,00:00:02
10/12/2022,,,10,-10,2022/2023,3394.769216,130.3580005,130.5283433,56.97554288,65.641756,23.92614596,8.485614729,71.27640075,31.1466,00:09:45,00:21:03,00:14:15,00:04:41,00:00:01
11/12/2022,,,10,-10,2022/2023,3881.087809,220.8529345,72.70674594,20.43882496,14.28554106,0.510079237,0.686406971,64.95382508,28.85396667,00:15:28,00:17:38,00:09:30,00:01:51,00:00:01
12/12/2022,,,10,-10,2022/2023,2233.526604,48.15826035,35.6819069,0,78.66310996,25.35903166,8.098477521,42.59847996,26.096,00:02:48,00:07:22,00:04:34,00:03:27,00:00:02
13/12/2022,,,10,-10,2022/2023,4641.928368,197.3979875,152.7447048,53.03932223,96.20310529,20.33612758,4.838939464,80.77096144,30.53373333,00:10:06,00:24:15,00:17:59,00:09:24,00:00:16
14/12/2022,,,10,-10,2022/2023,6800.886979,141.3181105,39.1419528,4.514377369,100.0806417,34.4641004,7.578970322,79.30043304,27.2124,00:04:57,00:15:20,00:22:47,00:14:53,00:00:06
15/12/2022,,,10,-10,2022/2023,1894.150257,220.3956909,132.117619,81.32244666,52.11114338,14.96214075,2.526840939,52.70944046,30.6599119,00:05:36,00:10:03,00:13:10,00:02:38,00:00:00
